species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__GGB47408_SGB102670,1.0489245103481946e-19,31.046157541033768,5.103467388122618e-15,73.06821245027918,5.784242372837364,187,0.40558740684522265,1.2420598170154812e-18,True,1.1934754456236592e-14,True,18.97925576625728,17.90585748823819,7.824976847197531e-17,True
s__GGB47282_SGB65238,1.2170261622020398e-19,30.91923183517992,1.0853656308846828e-14,71.51729579935039,7.222396299167123,187,0.40460013916216986,1.4185961203167526e-18,True,2.3955111261537672e-14,True,18.914700085715822,17.84814123222704,9.079015170027217e-17,True
s__GGB75611_SGB103138,1.9068724284448071e-19,30.53701835465093,6.03255903434179e-17,82.17300471310939,10.712953313367075,187,0.40160725677354325,2.1885028178766554e-18,True,1.7787703713908993e-16,True,18.719678360690597,17.659852889860787,1.4225268316198262e-16,True
s__Sphingorhabdus_rigui,2.8786909154917913e-19,30.1880678171038,1.6741830166555437e-21,103.6111569926163,13.489816327505705,187,0.39884844055012303,3.253793065086176e-18,True,2.8570956950950003e-20,True,18.540804962736516,17.487610070805715,2.1475034229568764e-16,True
s__Comamonas_denitrificans,3.778397949796215e-19,29.9584937847525,2.1006005746234568e-09,46.331977533929575,8.870424231537084,187,0.39701950412911713,4.206992344101457e-18,True,2.8965767627894615e-09,True,18.422692303084656,17.376028278312816,2.8186848705479763e-16,True
s__GGB61782_SGB83906,4.60995914750797e-19,29.791002931498085,1.2242084061980465e-10,52.24794899696132,7.6212207215456145,187,0.39567812582604056,5.057396358883743e-18,True,1.769882695782447e-10,True,18.33630292322,17.29607300845357,3.4390295240409457e-16,True
s__Limnohabitans_sp_Rim11,5.199472466384194e-19,29.689850601857145,3.484730275023683e-21,102.11651955886218,12.336381172946725,187,0.39486513624119135,5.621458637568998e-18,True,4.8140903429030876e-20,True,18.284040717242192,17.250150980506778,3.878806459922609e-16,True
s__Polynucleobacter_cosmopolitanus,5.686135360184261e-19,29.614726428859043,5.863537417186641e-21,101.05530496312014,11.747858016792604,187,0.39425992527453413,6.059795683853513e-18,True,7.498160383073173e-20,True,18.24518280601009,17.21754201855168,4.241856978697459e-16,True
s__GGB23780_SGB65296,1.4046339152092411e-18,28.859453355931894,3.135061928598476e-08,40.67709394036891,6.657462614271734,187,0.38810738989422267,1.475854789783231e-17,True,4.0035606409541167e-08,True,17.85243684965289,16.830956370899298,1.0478569007460938e-15,True
s__Phycicoccus_elongatus,1.948851153850933e-18,28.5877612583691,1.8622518365804176e-15,75.1389009998271,6.3974263991462825,187,0.38586347829669077,2.0192263344066612e-17,True,4.6001320201622234e-15,True,17.710221329445606,16.694814998404205,1.4538429607727962e-15,True
