species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Burkholderiales_unclassified_SGB103074,16.527915516386447,5.981259377437564e-09,7.604358636389962,60,4.940684115883358e-08,True
s__GGB67334_SGB91087,15.97871598641709,9.752354600747597e-09,8.475958187546405,60,7.946851113852435e-08,True
s__GGB47467_SGB65430,15.7696682164333,1.1773409378241456e-08,9.353104742845913,60,9.46582114010613e-08,True
s__Pseudoxanthomonas_mexicana,15.584377274018994,1.3927028484211425e-08,9.356339340115436,60,1.1049997599973012e-07,True
s__Faecalibacterium_prausnitzii,15.518469513814779,1.478814807433784e-08,11.17059099794832,60,1.1580848427046388e-07,True
s__GGB75612_SGB103140,15.213244780251538,1.955708646647515e-08,8.390226062921268,60,1.5119132229851945e-07,True
s__Fluviibacter_phosphoraccumulans,15.02388025097943,2.3292867319582715e-08,11.099528761360213,60,1.777923923254225e-07,True
s__GGB44435_SGB61857,14.506473447070361,3.7763988410600316e-08,9.99460204882341,60,2.8464606264489987e-07,True
s__Pseudomonas_fluvialis,14.384598683645418,4.236754982649335e-08,8.067097642411179,60,3.1540287093056163e-07,True
s__GGB45918_SGB63647,14.30707922068104,4.5594612067314146e-08,7.886407148029266,60,3.352872082511028e-07,True
s__GGB75253_SGB103519,14.096254680093681,5.572301950407709e-08,2.973418714990112,60,4.048310935055239e-07,True
s__Aquaspirillum_sp_LM1,14.05866774330933,5.776061555957867e-08,7.733334195094728,60,4.1463870455268976e-07,True
s__Aliarcobacter_cryaerophilus,14.015231212872468,6.02117014566737e-08,10.950976183872495,60,4.2714889386322633e-07,True
s__Comamonas_denitrificans,13.86557122499384,6.951385486494793e-08,9.648499263612758,60,4.874052846926e-07,True
s__Malikia_spinosa,13.583680063193727,9.12951770887221e-08,5.6262927618139775,60,6.129807397553373e-07,True
s__GGB45847_SGB63572,13.342764160837477,1.1548394168709096e-07,7.3578132934166,60,6.129807397553373e-07,True
